ispitanik	re? 1	re?2	modalitet	zadatak	response	malo dummy	mnogo dummy
a4	reka	voda	mnogo	cued	0	0	1
a4	cvet	p?ela	mnogo	cued	0	0	1
a5	teorija	nauka	nula	cued	0	0	0
a5	znanje	memorija	nula	cued	0	0	0
a5	nasilje	agresija	nula	cued	0	0	0
a5	poštenje	moral	nula	cued	0	0	0
a5	ljubomora	zavist	nula	cued	0	0	0
a5	šansa	prilika	nula	cued	0	0	0
a5	optimizam	nada	nula	cued	0	0	0
a5	san	mašta	nula	cued	0	0	0
a5	verovanje	religija	nula	cued	1	0	0
a5	dogovor	politika	nula	cued	1	0	0
a5	snaga	sila	nula	cued	0	0	0
a5	plakat	bilbord	malo	cued	0	1	0
a5	odžak	krov	malo	cued	0	1	0
a5	igla	ubod	malo	cued	1	1	0
a5	sijalica	bandera	malo	cued	1	1	0
a5	sveska	olovka	malo	cued	0	1	0
a5	leptir	cvr?ak 	malo	cued	0	1	0
a5	šiške	trepavice	malo	cued	1	1	0
a5	fotografija	slika	malo	cued	0	1	0
a5	nož	kutla?a	malo	cued	0	1	0
a5	ekran	monitor	malo	cued	0	1	0
a5	cigla	kamen	malo	cued	1	1	0
a5	?arapa	patika	mnogo	cued	1	0	1
a5	narandža	breskva	mnogo	cued	1	0	1
a5	vosak	sve?a	mnogo	cued	1	0	1
a5	deterdžent	sapun	mnogo	cued	0	0	1
a5	autobus	automobil	mnogo	cued	1	0	1
a5	pepeljara	cigareta	mnogo	cued	0	0	1
a5	cimet	bosiljak	mnogo	cued	0	0	1
a5	kiša	žaba	mnogo	cued	0	0	1
a5	tastatura	kompjuter	mnogo	cued	1	0	1
a5	reka	voda	mnogo	cued	0	0	1
a5	cvet	p?ela	mnogo	cued	1	0	1
a6	teorija	nauka	nula	cued	1	0	0
a6	znanje	memorija	nula	cued	0	0	0
a6	nasilje	agresija	nula	cued	1	0	0
a6	poštenje	moral	nula	cued	1	0	0
a6	ljubomora	zavist	nula	cued	1	0	0
a6	šansa	prilika	nula	cued	0	0	0
a6	optimizam	nada	nula	cued	1	0	0
a6	san	mašta	nula	cued	0	0	0
a6	verovanje	religija	nula	cued	0	0	0
a6	dogovor	politika	nula	cued	0	0	0
a6	snaga	sila	nula	cued	0	0	0
a6	plakat	bilbord	malo	cued	0	1	0
a6	odžak	krov	malo	cued	1	1	0
a6	igla	ubod	malo	cued	1	1	0
a6	sijalica	bandera	malo	cued	0	1	0
a6	sveska	olovka	malo	cued	0	1	0
a6	leptir	cvr?ak 	malo	cued	1	1	0
a6	šiške	trepavice	malo	cued	1	1	0
a6	fotografija	slika	malo	cued	1	1	0
a6	nož	kutla?a	malo	cued	1	1	0
a6	ekran	monitor	malo	cued	1	1	0
a6	cigla	kamen	malo	cued	1	1	0
a6	?arapa	patika	mnogo	cued	0	0	1
a6	narandža	breskva	mnogo	cued	1	0	1
a6	vosak	sve?a	mnogo	cued	1	0	1
a6	deterdžent	sapun	mnogo	cued	0	0	1
a6	autobus	automobil	mnogo	cued	1	0	1
a6	pepeljara	cigareta	mnogo	cued	0	0	1
a6	cimet	bosiljak	mnogo	cued	1	0	1
a6	kiša	žaba	mnogo	cued	1	0	1
a6	tastatura	kompjuter	mnogo	cued	1	0	1
a6	reka	voda	mnogo	cued	1	0	1
a6	cvet	p?ela	mnogo	cued	0	0	1
a7	teorija	nauka	nula	cued	1	0	0
a7	znanje	memorija	nula	cued	0	0	0
a7	nasilje	agresija	nula	cued	1	0	0
a7	poštenje	moral	nula	cued	0	0	0
a7	ljubomora	zavist	nula	cued	0	0	0
a7	šansa	prilika	nula	cued	1	0	0
a7	optimizam	nada	nula	cued	0	0	0
a7	san	mašta	nula	cued	1	0	0
a7	verovanje	religija	nula	cued	0	0	0
a7	dogovor	politika	nula	cued	0	0	0
